Name,Index Year,Overall Score,Property Rights,Judicial Effectiveness,Government Integrity,Tax Burden,Government Spending,Fiscal Health,Business Freedom,Labor Freedom,Monetary Freedom,Trade Freedom,Investment Freedom,Financial Freedom
Fiji,2018,62.0,68.3,47.1,34.8,81.4,68.2,63.0,62.8,70.8,74.1,68.8,55.0,50.0
Hong Kong,2018,90.2,92.5,84.3,82.8,93.1,90.2,100.0,96.3,89.4,84.3,90.0,90.0,90.0
India,2018,54.5,55.4,54.3,47.2,79.4,77.7,13.2,56.4,41.8,75.9,72.4,40.0,40.0
Indonesia,2018,64.2,49.3,45.2,42.8,83.7,90.7,89.4,57.3,50.3,81.6,80.5,40.0,60.0
Japan,2018,72.3,86.0,73.2,79.2,67.4,54.1,49.3,81.7,79.2,85.4,82.3,70.0,60.0
Kazakhstan,2018,69.1,56.0,58.1,44.6,92.6,85.3,87.3,74.3,86.8,68.2,75.6,50.0,50.0
Kiribati,2018,50.8,45.0,35.3,37.9,72.4,0.0,98.5,53.1,71.6,82.0,58.2,25.0,30.0
"Kyrgyz Republic ",2018,62.8,50.2,22.1,29.4,93.8,58.2,89.2,73.3,77.9,74.9,74.5,60.0,50.0
Laos,2018,53.6,34.1,41.4,33.1,86.7,79.3,60.2,65.4,55.0,76.0,56.6,35.0,20.0
Macau,2018,70.9,60.0,60.0,36.4,75.3,91.0,100.0,60.0,50.0,73.6,90.0,85.0,70.0
"Malaysia ",2018,74.5,83.8,65.2,54.8,85.6,81.3,80.7,83.9,75.8,85.6,87.4,60.0,50.0
Maldives,2018,51.1,45.0,38.8,36.6,94.3,45.5,6.7,78.6,70.6,83.3,48.4,35.0,30.0
Micronesia,2018,52.3,5.2,25.4,38.8,93.2,7.4,98.7,57.6,67.4,83.8,85.6,35.0,30.0
Mongolia,2018,55.7,51.0,30.9,34.8,88.4,57.1,3.8,67.0,75.6,79.1,75.9,45.0,60.0
Nepal,2018,54.1,37.5,36.2,24.6,84.2,87.6,98.5,64.6,43.5,65.8,66.6,10.0,30.0
New Zealand,2018,84.2,95.1,88.4,95.7,70.5,49.5,98.3,91.5,84.4,90.0,87.4,80.0,80.0
North Korea,2018,5.8,29.8,5.0,25.2,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0
"Pakistan ",2018,54.4,36.0,34.0,27.3,78.5,88.2,54.0,55.3,40.6,77.7,65.9,55.0,40.0
Papua New Guinea,2018,55.7,38.0,55.1,33.1,71.1,82.0,51.9,60.6,66.7,68.8,85.9,25.0,30.0
Philippines,2018,65.0,45.0,38.2,34.4,78.9,89.3,97.7,62.6,57.6,76.3,80.7,60.0,60.0
Samoa,2018,61.5,53.1,38.8,40.1,79.9,55.1,78.1,77.0,76.5,84.8,70.2,55.0,30.0
Singapore,2018,88.8,98.4,90.9,91.2,90.4,90.6,80.0,90.9,92.6,85.2,90.0,85.0,80.0
Solomon Islands,2018,57.5,49.4,57.3,36.8,65.5,35.6,99.8,68.9,72.4,84.0,74.7,15.0,30.0
South Korea,2018,73.8,79.4,63.7,49.9,73.3,68.8,97.0,90.7,58.7,83.9,80.4,70.0,70.0
Sri Lanka,2018,57.8,46.5,52.0,30.7,84.9,89.3,24.9,76.2,60.1,74.0,74.5,40.0,40.0
Taiwan,2018,76.6,84.3,69.2,70.9,76.1,90.4,90.8,93.2,54.9,83.3,86.2,60.0,60.0
Tajikistan,2018,58.3,46.8,50.3,38.2,91.8,71.4,90.4,63.4,52.2,69.6,70.6,25.0,30.0
"Thailand ",2018,67.1,48.6,45.3,34.7,81.3,85.5,96.4,77.2,62.6,75.5,83.1,55.0,60.0
Timor-Leste,2018,48.1,29.9,13.8,32.0,97.4,30.9,20.0,66.9,62.7,78.4,80.0,45.0,20.0
Tonga,2018,63.1,62.1,25.4,40.5,85.4,68.7,95.9,75.5,86.4,78.3,78.6,40.0,20.0
Turkmenistan,2018,47.1,29.8,5.0,27.3,95.9,92.2,98.6,30.0,20.0,76.3,80.0,0.0,10.0
Uzbekistan,2018,51.5,48.7,35.3,24.2,91.0,65.5,99.7,66.9,52.0,61.9,62.5,0.0,10.0
Vanuatu,2018,69.5,67.9,47.1,75.4,97.0,78.5,98.0,55.2,59.5,75.7,75.0,65.0,40.0
Vietnam,2018,53.1,46.4,36.3,30.4,79.7,74.0,27.3,63.2,60.4,75.4,78.7,25.0,40.0
Afghanistan,2017,48.9,12.6,28.4,27.5,91.6,79.9,97.3,54.2,59.9,69.3,66.0,0.0,0.0
Australia,2017,81.0,81.7,92.9,74.8,63.2,59.0,84.6,89.3,84.1,86.4,86.2,80.0,90.0
"Bangladesh ",2017,55.0,34.9,26.0,19.1,72.8,94.0,78.7,53.4,68.7,68.6,63.6,50.0,30.0
Bhutan,2017,58.4,60.1,50.7,44.7,83.1,73.6,61.7,72.6,77.6,67.1,60.0,20.0,30.0
Brunei Darussalam,2017,69.8,62.5,39.9,40.9,85.6,61.2,100.0,76.6,90.4,76.1,89.1,65.0,50.0
Burma,2017,52.5,23.0,12.9,29.6,86.2,81.5,89.9,50.1,77.1,65.4,74.2,20.0,20.0
Cambodia,2017,59.5,42.4,22.1,12.8,90.2,88.1,95.7,29.6,62.0,81.0,80.3,60.0,50.0
China,2017,57.4,48.3,60.7,41.6,70.0,73.0,92.5,53.9,63.4,71.8,73.6,20.0,20.0
Fiji,2017,63.4,67.7,41.9,32.7,80.7,72.5,84.1,61.3,70.5,75.5,68.8,55.0,50.0
Hong Kong,2017,89.8,93.7,84.0,80.3,93.0,90.0,100.0,94.6,89.1,83.2,90.0,90.0,90.0
India,2017,52.6,55.4,44.4,44.3,77.2,77.4,11.0,52.8,41.6,75.0,72.6,40.0,40.0
Indonesia,2017,61.9,48.3,39.3,44.7,83.6,89.9,90.1,49.1,48.9,74.0,80.5,35.0,60.0
Japan,2017,69.6,89.4,73.8,86.1,68.5,52.3,9.5,82.3,77.5,83.0,82.6,70.0,60.0
Kazakhstan,2017,69.0,56.1,56.5,38.0,93.3,85.7,98.9,74.5,82.5,73.9,78.5,40.0,50.0
Kiribati,2017,50.9,48.0,33.0,37.6,73.6,0.0,99.5,51.5,71.9,82.0,58.2,25.0,30.0
"Kyrgyz Republic ",2017,61.1,50.9,17.2,30.3,93.7,55.2,78.9,73.7,79.8,68.5,75.3,60.0,50.0
Laos,2017,54.0,35.3,35.9,32.6,86.1,76.6,61.2,66.3,54.4,70.2,74.6,35.0,20.0
Macau,2017,70.7,60.0,60.0,37.1,72.3,92.8,100.0,60.0,50.0,70.8,90.0,85.0,70.0
"Malaysia ",2017,73.8,85.3,67.3,51.8,85.3,78.7,76.5,90.8,73.1,85.3,81.2,60.0,50.0
Maldives,2017,50.3,45.1,33.0,31.4,93.0,51.5,9.4,80.6,70.4,76.3,47.8,35.0,30.0
Micronesia,2017,54.1,30.0,30.0,40.7,90.7,0.0,98.6,57.8,67.7,83.6,85.6,35.0,30.0
Mongolia,2017,54.8,51.3,28.4,36.8,87.1,57.6,0.0,67.2,76.6,72.3,74.9,45.0,60.0
Nepal,2017,55.1,37.3,32.0,26.7,84.9,89.5,98.4,64.6,47.6,72.2,68.1,10.0,30.0
New Zealand,2017,83.7,96.1,88.5,89.9,70.8,46.5,97.8,91.8,86.2,90.1,87.4,80.0,80.0
North Korea,2017,4.9,32.4,5.0,11.6,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0
"Pakistan ",2017,52.8,36.4,34.1,30.5,78.9,87.3,30.8,61.2,37.8,74.8,67.2,55.0,40.0
Papua New Guinea,2017,50.9,37.7,54.0,32.7,67.8,64.5,16.7,59.8,67.4,69.8,85.4,25.0,30.0
Philippines,2017,65.6,49.2,37.1,38.7,78.9,89.4,97.2,62.6,57.2,80.6,76.4,60.0,60.0
Samoa,2017,58.4,51.3,22.6,37.1,80.4,51.9,66.6,77.0,73.3,84.5,70.7,55.0,30.0
Singapore,2017,88.6,97.1,91.5,87.9,90.5,90.1,80.7,95.1,90.8,84.3,90.0,85.0,80.0
Solomon Islands,2017,55.0,39.3,41.9,33.9,62.8,34.4,99.8,68.5,70.5,81.0,83.0,15.0,30.0
South Korea,2017,74.3,77.8,59.9,67.3,73.7,68.9,97.4,90.6,57.0,84.0,79.5,65.0,70.0
Sri Lanka,2017,57.4,48.0,48.3,30.0,85.3,90.2,31.2,72.8,57.5,76.0,74.5,35.0,40.0
Taiwan,2017,76.5,86.5,67.7,70.5,75.3,89.5,83.7,93.4,55.0,85.2,86.2,65.0,60.0
Tajikistan,2017,58.2,45.5,45.6,32.7,90.9,74.1,95.8,65.6,49.2,69.8,73.9,25.0,30.0
"Thailand ",2017,66.2,51.3,41.7,40.7,81.0,85.3,96.3,69.9,62.8,72.9,82.8,50.0,60.0
Timor-Leste,2017,46.3,6.8,10.3,29.2,64.7,65.6,20.0,72.2,63.9,77.5,80.0,45.0,20.0
Tonga,2017,63.0,65.5,19.8,47.6,86.9,74.4,79.6,76.1,86.0,80.6,79.7,40.0,20.0
Turkmenistan,2017,47.4,32.4,5.0,29.6,95.3,92.3,98.9,30.0,20.0,74.8,80.0,0.0,10.0
Uzbekistan,2017,52.3,48.0,41.9,27.5,90.7,66.2,99.8,64.8,50.4,61.1,66.8,0.0,10.0
Vanuatu,2017,67.4,65.5,33.0,70.5,97.0,80.4,99.1,51.4,58.1,74.8,73.9,65.0,40.0
Vietnam,2017,52.4,49.7,32.0,24.6,79.6,74.6,21.1,61.2,62.2,76.0,83.1,25.0,40.0
Afghanistan,2016,N/A,N/A,N/A,12.0,91.6,81.2,N/A,56.6,63.2,N/A,N/A,55.0,N/A
Australia,2016,80.3,90.0,N/A,80.0,63.2,62.0,N/A,89.4,77.2,85.2,86.4,80.0,90.0
"Bangladesh ",2016,53.3,20.0,N/A,25.0,72.7,93.6,N/A,52.6,62.5,68.2,63.6,45.0,30.0
Bhutan,2016,59.5,60.0,N/A,65.0,83.1,67.5,N/A,65.2,77.6,66.9,60.0,20.0,30.0
Brunei Darussalam,2016,67.3,30.0,N/A,60.0,87.0,57.3,N/A,71.3,90.2,76.8,85.2,65.0,50.0
Burma,2016,48.7,10.0,N/A,21.0,86.6,75.3,N/A,32.6,76.8,70.0,74.2,20.0,20.0
Cambodia,2016,57.9,25.0,N/A,21.0,90.5,87.4,N/A,32.3,62.5,78.1,72.2,60.0,50.0
China,2016,52.0,20.0,N/A,36.0,69.7,74.3,N/A,54.2,62.0,70.6,72.8,30.0,30.0
Fiji,2016,58.8,30.0,N/A,22.3,81.2,75.3,N/A,62.0,70.6,77.6,68.8,50.0,50.0
Hong Kong,2016,88.6,90.0,N/A,74.0,92.6,90.7,N/A,97.4,89.0,81.8,90.0,90.0,90.0
India,2016,56.2,55.0,N/A,38.0,77.1,78.1,N/A,47.6,47.8,72.8,71.0,35.0,40.0
Indonesia,2016,59.4,30.0,N/A,34.0,83.4,89.0,N/A,54.0,49.3,74.3,80.4,40.0,60.0
Japan,2016,73.1,80.0,N/A,76.0,68.5,46.2,N/A,82.5,83.9,81.2,82.6,70.0,60.0
Kazakhstan,2016,63.6,30.0,N/A,29.0,93.0,87.7,N/A,72.3,82.7,74.0,77.4,40.0,50.0
Kiribati,2016,46.2,30.0,N/A,29.2,73.3,0.0,N/A,51.6,83.9,81.0,58.2,25.0,30.0
"Kyrgyz Republic ",2016,59.6,20.0,N/A,27.0,93.7,56.3,N/A,65.3,80.4,68.4,75.0,60.0,50.0
Laos,2016,49.8,15.0,N/A,25.0,86.1,73.8,N/A,55.9,57.6,71.3,58.6,35.0,20.0
Macau,2016,70.1,60.0,N/A,49.7,73.1,93.9,N/A,60.0,50.0,69.6,90.0,85.0,70.0
"Malaysia ",2016,71.5,55.0,N/A,52.0,85.0,74.3,N/A,91.4,71.5,84.5,81.4,60.0,60.0
Maldives,2016,53.9,25.0,N/A,21.9,94.0,60.8,N/A,81.5,70.4,73.0,47.8,35.0,30.0
Micronesia,2016,51.8,30.0,N/A,30.0,93.2,0.0,N/A,57.5,79.1,82.1,85.6,30.0,30.0
Mongolia,2016,59.4,30.0,N/A,39.0,84.4,51.5,N/A,67.7,77.9,68.0,70.0,45.0,60.0
Nepal,2016,50.9,30.0,N/A,29.0,85.1,91.1,N/A,64.9,47.3,70.8,55.6,5.0,30.0
New Zealand,2016,81.6,95.0,N/A,91.0,71.0,46.0,N/A,91.4,85.9,88.1,87.2,80.0,80.0
North Korea,2016,2.3,5.0,N/A,8.0,0.0,0.0,N/A,5.0,5.0,0.0,0.0,0.0,0.0
"Pakistan ",2016,55.9,30.0,N/A,29.0,79.0,86.2,N/A,61.2,42.1,71.5,65.0,55.0,40.0
Papua New Guinea,2016,53.2,20.0,N/A,25.0,67.3,76.2,N/A,59.9,71.9,70.6,85.6,25.0,30.0
Philippines,2016,63.1,30.0,N/A,38.0,79.0,89.6,N/A,63.0,57.1,77.7,76.4,60.0,60.0
Samoa,2016,63.5,60.0,N/A,52.0,78.9,57.5,N/A,77.1,71.8,82.5,70.6,55.0,30.0
Singapore,2016,87.8,90.0,N/A,84.0,91.2,90.1,N/A,95.0,90.7,81.8,90.0,85.0,80.0
Solomon Islands,2016,47.0,30.0,N/A,25.0,61.4,25.2,N/A,68.5,66.2,75.5,73.0,15.0,30.0
South Korea,2016,71.7,70.0,N/A,55.0,73.8,69.7,N/A,91.1,50.6,82.6,74.6,70.0,80.0
Sri Lanka,2016,59.9,40.0,N/A,38.0,85.1,90.0,N/A,70.3,56.5,71.5,72.4,35.0,40.0
Taiwan,2016,74.7,70.0,N/A,61.0,76.1,88.7,N/A,93.2,53.8,83.2,86.4,75.0,60.0
Tajikistan,2016,51.3,20.0,N/A,23.0,91.6,76.9,N/A,61.1,47.3,69.8,68.6,25.0,30.0
"Thailand ",2016,63.9,40.0,N/A,38.0,81.1,82.2,N/A,76.3,62.5,70.9,77.6,50.0,60.0
Timor-Leste,2016,45.8,20.0,N/A,28.0,64.7,0.0,N/A,68.0,66.0,70.9,80.0,40.0,20.0
Tonga,2016,59.6,25.0,N/A,28.6,86.9,76.3,N/A,76.4,86.1,77.4,79.6,40.0,20.0
Turkmenistan,2016,41.9,5.0,N/A,17.0,95.3,92.2,N/A,30.0,20.0,69.4,80.0,0.0,10.0
Uzbekistan,2016,46.0,15.0,N/A,18.0,90.4,66.6,N/A,67.1,61.9,65.6,65.6,0.0,10.0
Vanuatu,2016,60.8,40.0,N/A,33.5,97.0,86.1,N/A,51.8,47.7,78.3,74.0,60.0,40.0
Vietnam,2016,54.0,15.0,N/A,31.0,79.3,75.1,N/A,58.3,62.6,70.6,83.0,25.0,40.0
Afghanistan,2015,N/A,N/A,N/A,8.0,91.7,81.2,N/A,61.4,67.5,72.6,N/A,55.0,N/A
Australia,2015,81.4,90.0,N/A,81.0,63.7,61.8,N/A,94.1,81.6,85.3,86.4,80.0,90.0
"Bangladesh ",2015,53.9,20.0,N/A,27.0,72.7,92.0,N/A,62.2,63.7,67.7,59.0,45.0,30.0
Bhutan,2015,57.4,60.0,N/A,63.0,82.6,60.1,N/A,61.9,81.1,66.0,49.4,20.0,30.0
Brunei Darussalam,2015,68.9,35.0,N/A,60.0,87.0,63.6,N/A,68.3,96.9,76.6,81.8,70.0,50.0
Burma,2015,46.9,10.0,N/A,21.0,86.9,77.9,N/A,28.7,79.3,66.1,74.2,15.0,10.0
Cambodia,2015,57.5,25.0,N/A,20.0,90.5,87.5,N/A,29.2,62.2,78.7,72.2,60.0,50.0
China,2015,52.7,20.0,N/A,40.0,69.7,81.5,N/A,52.1,63.0,74.2,71.8,25.0,30.0
Fiji,2015,59.0,25.0,N/A,22.3,81.3,74.6,N/A,63.2,75.2,78.3,70.2,50.0,50.0
Hong Kong,2015,89.6,90.0,N/A,75.0,93.2,89.7,N/A,100.0,95.9,81.8,90.0,90.0,90.0
India,2015,54.6,55.0,N/A,36.0,79.4,78.3,N/A,43.3,48.7,65.3,64.6,35.0,40.0
Indonesia,2015,58.1,30.0,N/A,32.0,83.3,88.3,N/A,49.3,48.7,74.9,74.8,40.0,60.0
Japan,2015,73.3,80.0,N/A,74.0,68.7,47.1,N/A,84.1,90.2,86.7,82.6,70.0,50.0
Kazakhstan,2015,63.3,25.0,N/A,26.0,93.2,85.0,N/A,73.7,87.0,74.6,79.0,40.0,50.0
Kiribati,2015,46.4,30.0,N/A,29.2,73.0,0.0,N/A,56.8,83.9,80.6,55.4,25.0,30.0
