Name,Index Year,Overall Score,Property Rights,Judicial Effectiveness,Government Integrity,Tax Burden,Government Spending,Fiscal Health,Business Freedom,Labor Freedom,Monetary Freedom,Trade Freedom,Investment Freedom,Financial Freedom
France,2020,66.0,85.9,71.2,83.3,48.8,4.5,67.1,82.5,46.1,76.7,81.4,75.0,70.0
Georgia,2020,77.1,68.6,57.9,64.8,87.1,73.6,94.4,85.3,76.3,78.3,88.6,80.0,70.0
Germany,2020,73.5,80.5,74.3,82.8,60.9,42.2,92.9,82.8,53.0,76.7,86.4,80.0,70.0
Greece,2020,59.9,57.0,48.6,51.2,59.0,31.5,80.0,73.7,52.0,79.4,81.4,55.0,50.0
"Hungary ",2020,66.4,64.8,45.7,47.5,79.9,34.5,83.6,60.2,64.6,79.9,86.4,80.0,70.0
Iceland,2020,77.1,87.6,63.2,90.3,71.7,44.1,97.5,84.7,63.5,80.3,86.8,85.0,70.0
Ireland,2020,80.9,86.6,64.4,82.8,76.4,78.8,91.4,82.7,75.9,85.3,86.4,90.0,70.0
Italy,2020,63.8,75.4,51.3,62.2,56.0,28.5,71.1,70.4,50.9,83.2,86.4,80.0,50.0
Kosovo,2020,67.4,66.3,54.1,39.2,92.6,76.5,94.0,75.0,61.0,78.4,76.2,65.0,30.0
Latvia,2020,71.9,72.3,51.1,46.4,76.9,58.3,96.5,77.0,72.4,80.2,86.4,85.0,60.0
Liechtenstein,2020,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,85.0,80.0
Lithuania,2020,76.7,77.9,62.1,67.4,84.9,66.0,97.4,71.9,76.5,79.7,86.4,80.0,70.0
Luxembourg,2020,75.8,86.4,74.4,90.3,64.1,45.4,99.0,66.8,45.3,76.4,86.4,95.0,80.0
Malta,2020,69.5,70.5,49.6,55.1,64.8,60.0,95.9,68.0,61.1,77.1,86.4,85.0,60.0
Moldova,2020,62.0,60.5,31.7,37.2,86.1,71.6,96.2,68.1,37.0,72.0,78.0,55.0,50.0
Montenegro,2020,61.5,59.1,55.3,47.5,85.4,32.1,23.4,70.8,74.8,80.3,83.8,75.0,50.0
Netherlands,2020,77.0,90.0,73.9,90.1,51.7,45.2,94.1,80.4,60.2,82.5,86.4,90.0,80.0
North Macedonia,2020,69.5,62.5,42.7,42.2,91.5,71.0,87.7,80.6,67.0,77.7,86.2,65.0,60.0
Norway,2020,73.4,84.3,82.8,95.6,57.7,25.6,97.3,86.1,57.4,74.8,83.8,75.0,60.0
Poland,2020,69.1,63.1,42.8,64.6,74.7,48.8,92.2,62.6,62.0,82.0,86.4,80.0,70.0
Portugal,2020,67.0,75.4,65.6,68.9,59.6,39.8,74.4,76.5,44.1,83.0,86.4,70.0,60.0
Romania,2020,69.7,72.5,56.1,55.1,90.3,70.4,85.6,58.6,63.0,78.1,86.4,70.0,50.0
Russia,2020,61.0,56.8,44.4,41.3,88.5,63.8,98.7,80.2,52.1,68.2,77.8,30.0,30.0
"Serbia ",2020,66.0,55.4,46.8,44.0,83.7,49.7,94.1,72.6,66.9,80.7,78.0,70.0,50.0
Slovakia,2020,66.8,73.1,41.7,49.7,78.5,50.2,92.6,55.3,52.6,75.9,86.4,75.0,70.0
Slovenia,2020,67.8,76.5,48.6,67.4,59.2,42.9,90.3,78.4,61.4,82.2,86.4,70.0,50.0
Spain,2020,66.9,74.9,51.8,55.1,62.1,48.3,62.6,66.8,57.7,82.0,86.4,85.0,70.0
Sweden,2020,74.9,88.8,79.9,91.4,43.6,25.8,97.0,85.3,53.8,81.2,86.4,85.0,80.0
Switzerland,2020,82.0,87.4,81.5,90.1,70.1,65.3,96.7,74.2,72.4,84.4,86.6,85.0,90.0
Turkey,2020,64.4,57.4,53.7,44.6,76.7,64.1,86.1,67.0,49.2,66.1,78.0,70.0,60.0
Ukraine,2020,54.9,47.5,42.2,37.9,81.1,47.2,83.9,61.3,48.3,63.0,81.2,35.0,30.0
United Kingdom,2020,79.3,92.2,82.7,89.9,64.7,49.5,78.1,94.7,73.1,80.3,86.4,80.0,80.0
Albania,2019,66.5,54.8,30.6,40.4,86.3,73.9,80.6,69.3,52.7,81.5,87.8,70.0,70.0
Armenia,2019,67.7,57.2,46.3,38.6,84.7,79.0,53.0,78.3,71.4,77.8,80.8,75.0,70.0
Austria,2019,72.0,84.2,71.3,77.4,50.5,24.5,85.5,74.9,68.7,81.5,86.0,90.0,70.0
Azerbaijan,2019,65.4,59.1,53.1,44.7,87.5,59.5,89.4,69.5,63.9,63.0,74.6,60.0,60.0
Belarus,2019,57.9,55.2,51.7,37.7,89.4,41.3,85.4,75.0,75.3,67.0,76.4,30.0,10.0
Belgium,2019,67.3,81.3,61.6,72.5,47.1,15.2,73.4,78.1,61.0,76.1,86.0,85.0,70.0
Bosnia and Herzegovina,2019,61.9,40.2,37.9,30.2,84.3,46.1,96.6,49.7,67.0,83.1,82.6,65.0,60.0
Bulgaria,2019,69.0,62.5,41.9,35.1,90.2,63.9,98.8,62.7,68.4,88.0,86.0,70.0,60.0
Croatia,2019,61.4,66.0,42.9,38.6,66.4,33.4,85.4,60.7,44.0,78.5,86.0,75.0,60.0
Cyprus,2019,68.1,73.1,48.1,43.7,74.9,55.2,80.3,76.9,59.5,84.0,86.0,75.0,60.0
Czech Republic,2019,73.7,74.8,47.6,52.1,82.6,52.1,97.6,72.4,78.1,81.5,86.0,80.0,80.0
Denmark,2019,76.7,86.2,77.8,85.8,42.0,14.4,96.7,90.7,86.4,84.1,86.0,90.0,80.0
Estonia,2019,76.6,81.5,76.0,73.1,79.9,51.1,99.8,75.3,57.2,79.6,86.0,90.0,70.0
Finland,2019,74.9,89.6,81.2,92.5,66.8,7.2,86.4,89.4,50.3,84.8,86.0,85.0,80.0
France,2019,63.8,82.5,66.1,67.9,48.4,3.9,64.9,81.2,45.2,79.1,81.0,75.0,70.0
Georgia,2019,75.9,65.9,54.6,58.5,87.1,73.6,93.9,85.8,76.6,76.0,88.6,80.0,70.0
Germany,2019,73.5,79.9,75.4,81.3,60.8,42.3,91.8,83.3,52.8,77.9,86.0,80.0,70.0
Greece,2019,57.7,52.4,49.5,37.7,59.1,23.3,79.0,74.1,52.5,79.1,81.0,55.0,50.0
"Hungary ",2019,65.0,60.9,45.2,35.3,78.6,31.7,85.0,61.1,64.7,81.8,86.0,80.0,70.0
Iceland,2019,77.1,87.4,63.8,83.8,72.7,44.0,96.7,88.4,64.1,81.7,87.0,85.0,70.0
Ireland,2019,80.5,85.8,68.4,78.0,76.3,77.4,89.0,83.1,75.3,87.0,86.0,90.0,70.0
Italy,2019,62.2,71.7,49.8,43.7,55.6,26.5,71.3,71.7,51.1,84.0,86.0,85.0,50.0
Kosovo,2019,67.0,57.2,53.5,44.7,92.5,77.7,96.0,73.8,64.9,78.3,70.8,65.0,30.0
Latvia,2019,70.4,67.3,48.4,35.5,77.0,57.1,96.9,77.5,73.3,81.1,86.0,85.0,60.0
Liechtenstein,2019,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,85.0,80.0
Lithuania,2019,74.2,73.6,61.2,47.8,86.4,65.1,97.3,75.2,63.6,84.6,86.0,80.0,70.0
Luxembourg,2019,75.9,83.0,72.4,85.8,65.4,46.6,98.9,68.8,45.9,82.6,86.0,95.0,80.0
Malta,2019,68.6,69.8,50.4,50.3,64.2,56.1,94.5,67.1,61.3,78.2,86.0,85.0,60.0
Moldova,2019,59.1,55.2,29.6,25.4,85.4,59.1,92.0,67.0,39.0,73.5,78.0,55.0,50.0
Montenegro,2019,60.5,55.4,51.8,39.5,85.3,32.6,23.2,73.3,73.4,81.6,84.7,75.0,50.0
Netherlands,2019,76.8,88.0,74.7,89.1,51.6,42.9,93.3,81.4,60.3,84.0,86.0,90.0,80.0
North Macedonia,2019,71.1,65.1,60.7,44.7,91.8,70.0,82.9,80.2,71.5,78.7,82.0,65.0,60.0
Norway,2019,73.0,86.1,81.2,92.3,57.4,25.3,97.3,89.4,53.7,75.4,83.2,75.0,60.0
Poland,2019,67.8,62.3,44.0,49.8,74.9,48.8,86.4,65.4,63.9,82.1,86.0,80.0,70.0
Portugal,2019,65.3,71.5,64.3,59.5,59.9,35.6,69.8,79.7,44.3,83.0,86.0,70.0,60.0
Romania,2019,68.6,66.7,51.9,39.8,89.7,69.0,89.3,63.1,64.5,82.7,86.0,70.0,50.0
Russia,2019,58.9,52.4,45.1,36.6,89.4,62.3,86.6,78.4,52.5,65.1,77.8,30.0,30.0
"Serbia ",2019,63.9,50.1,44.8,37.2,82.0,45.1,90.1,72.9,67.4,80.0,77.0,70.0,50.0
Slovakia,2019,65.0,68.5,37.2,37.7,78.6,46.1,87.2,61.3,53.4,78.6,86.0,75.0,70.0
Slovenia,2019,65.5,76.4,46.5,53.6,58.4,38.3,82.6,79.3,61.2,83.6,86.0,70.0,50.0
Spain,2019,65.7,72.9,51.4,51.9,62.3,46.2,51.1,66.8,57.8,87.5,86.0,85.0,70.0
Sweden,2019,75.2,89.5,84.0,88.0,43.2,26.7,96.6,88.0,53.9,82.0,86.0,85.0,80.0
Switzerland,2019,81.9,85.3,82.0,88.0,70.5,64.8,96.3,75.4,72.5,85.2,87.4,85.0,90.0
Turkey,2019,64.6,55.8,49.8,41.2,76.4,65.1,92.2,66.0,49.2,70.0,79.6,70.0,60.0
Ukraine,2019,52.3,43.9,31.5,29.6,81.8,46.9,82.6,66.1,46.7,58.6,75.0,35.0,30.0
United Kingdom,2019,78.9,92.3,85.9,83.8,64.7,48.2,68.6,92.9,73.5,81.2,86.0,90.0,80.0
Albania,2018,64.5,54.1,25.4,39.9,85.1,72.7,67.5,69.1,50.4,82.4,87.8,70.0,70.0
Armenia,2018,68.7,55.3,47.4,40.5,84.7,80.0,67.2,78.7,69.9,75.8,80.0,75.0,70.0
Austria,2018,71.8,83.5,80.9,73.5,49.9,19.4,81.1,75.5,66.7,83.7,86.9,90.0,70.0
Azerbaijan,2018,64.3,53.6,36.8,39.9,87.5,59.4,95.5,72.3,71.9,65.6,74.6,55.0,60.0
Belarus,2018,58.1,53.5,57.3,42.0,89.8,47.9,75.4,74.1,73.1,62.3,81.4,30.0,10.0
Belgium,2018,67.5,81.2,69.5,70.9,44.0,12.1,67.9,80.6,59.5,82.6,86.9,85.0,70.0
Bosnia and Herzegovina,2018,61.4,39.5,43.7,28.4,83.5,41.5,94.4,49.3,59.6,83.5,87.8,65.0,60.0
Bulgaria,2018,68.3,63.6,42.5,38.2,90.9,60.5,94.3,64.3,66.1,82.8,86.9,70.0,60.0
Croatia,2018,61.0,65.9,56.5,40.5,66.0,32.5,67.2,58.9,43.0,79.1,87.4,75.0,60.0
Cyprus,2018,67.8,71.2,56.7,41.3,75.2,52.9,79.3,77.0,55.7,83.0,86.9,75.0,60.0
Czech Republic,2018,74.2,73.0,57.9,51.1,82.9,48.6,96.2,72.5,76.8,85.2,86.9,80.0,80.0
Denmark,2018,76.6,84.8,83.6,84.1,41.4,10.6,96.7,92.5,82.8,86.4,86.9,90.0,80.0
Estonia,2018,78.8,80.4,83.9,75.7,80.7,52.6,99.8,75.6,54.8,85.1,86.9,90.0,80.0
Finland,2018,74.1,89.0,82.7,89.8,66.5,2.3,81.1,89.9,50.5,86.0,86.9,85.0,80.0
France,2018,63.9,84.0,72.7,65.1,47.3,2.7,60.8,80.2,45.0,81.6,81.9,75.0,70.0
Georgia,2018,76.2,62.8,64.2,61.8,87.0,73.3,91.8,86.9,77.3,79.6,89.4,80.0,60.0
Germany,2018,74.2,81.0,78.0,75.3,61.3,41.3,90.8,86.1,53.3,86.2,86.9,80.0,70.0
Greece,2018,57.3,52.3,59.0,37.9,60.4,20.9,70.5,74.4,54.4,81.0,81.9,55.0,40.0
"Hungary ",2018,66.7,57.6,57.1,36.4,78.6,29.4,82.4,61.8,68.7,91.6,86.9,80.0,70.0
Iceland,2018,77.0,86.7,72.6,77.3,72.1,44.2,94.3,89.5,61.8,81.7,88.5,85.0,70.0
Ireland,2018,80.4,87.7,79.0,79.0,76.1,69.6,80.8,81.8,76.4,87.4,86.9,90.0,70.0
Italy,2018,62.5,71.2,60.9,40.1,55.2,24.1,68.2,70.3,50.3,88.2,86.9,85.0,50.0
Kosovo,2018,66.6,52.3,59.0,45.4,93.2,77.9,92.8,72.6,58.3,81.2,70.8,65.0,30.0
Latvia,2018,73.6,68.3,58.9,45.4,84.0,59.0,95.3,80.1,72.5,87.3,86.9,85.0,60.0
Liechtenstein,2018,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,90.0,85.0,80.0
Lithuania,2018,75.3,73.8,66.7,50.9,86.4,63.9,96.7,73.4,64.5,89.9,86.9,80.0,70.0
Luxembourg,2018,76.4,82.7,77.9,79.0,65.1,48.5,99.0,69.2,46.2,87.6,86.9,95.0,80.0
Malta,2018,68.5,68.1,62.8,49.9,64.7,51.0,90.0,64.0,61.1,78.8,86.9,85.0,60.0
Moldova,2018,58.4,53.5,26.3,26.6,85.3,56.7,90.0,66.0,39.9,73.2,78.3,55.0,50.0
Montenegro,2018,64.3,54.2,51.3,38.1,85.2,35.7,69.1,72.9,70.9,84.9,84.7,75.0,50.0
Netherlands,2018,76.2,87.9,74.1,86.0,52.5,39.1,88.2,80.5,61.5,87.5,86.9,90.0,80.0
North Macedonia,2018,71.3,64.8,57.0,47.4,91.6,70.3,78.1,82.9,69.0,81.8,87.8,65.0,60.0
Norway,2018,74.3,86.4,86.0,93.6,56.4,29.2,97.8,90.4,54.6,73.9,87.9,75.0,60.0
Poland,2018,68.5,61.8,56.6,50.9,75.9,47.8,81.5,67.2,63.9,85.0,86.9,75.0,70.0
Portugal,2018,63.4,69.2,70.1,56.8,59.8,29.8,46.0,83.2,44.1,85.3,86.9,70.0,60.0
Romania,2018,69.4,61.0,59.7,40.0,87.3,66.9,91.1,65.2,66.8,82.8,86.9,75.0,50.0
Russia,2018,58.2,48.7,46.9,38.1,85.8,62.5,87.7,77.0,52.0,60.8,79.4,30.0,30.0
"Serbia ",2018,62.5,46.2,48.2,36.5,83.5,40.6,67.0,68.3,69.2,82.9,87.4,70.0,50.0
Slovakia,2018,65.3,68.2,38.8,38.2,78.9,44.3,84.9,63.9,54.0,81.0,86.9,75.0,70.0
Slovenia,2018,64.8,76.6,57.7,52.1,58.7,31.2,66.3,79.5,61.3,87.3,86.9,70.0,50.0
Spain,2018,65.1,73.1,62.0,51.5,62.0,42.8,36.1,66.3,59.0,86.7,86.9,85.0,70.0
Sweden,2018,76.3,92.6,88.2,92.9,43.9,23.2,96.1,89.3,53.7,83.8,86.9,85.0,80.0
Switzerland,2018,81.7,84.2,82.1,82.8,70.5,65.4,95.9,75.7,73.9,85.2,90.0,85.0,90.0
Turkey,2018,65.4,54.7,54.5,42.0,74.7,68.1,93.6,63.3,47.6,72.3,78.6,75.0,60.0
Ukraine,2018,51.9,41.0,29.5,29.0,80.2,45.0,75.9,62.7,52.8,60.1,81.1,35.0,30.0
United Kingdom,2018,78.0,92.2,93.8,79.0,65.2,44.4,53.5,91.1,74.4,85.2,86.9,90.0,80.0
Albania,2017,64.4,54.0,28.5,39.7,86.9,72.5,51.5,79.3,50.7,81.4,87.7,70.0,70.0
Armenia,2017,70.3,55.5,42.5,43.4,83.7,81.7,82.9,78.5,72.4,72.8,80.2,80.0,70.0
Austria,2017,72.3,86.0,81.8,75.2,50.3,19.3,79.7,76.9,67.6,83.4,87.0,90.0,70.0
Azerbaijan,2017,63.6,50.5,33.0,37.6,87.7,57.5,97.4,71.5,75.0,73.6,74.4,55.0,50.0
Belarus,2017,58.6,50.9,56.3,37.6,89.8,48.7,92.8,71.3,74.6,60.4,80.6,30.0,10.0
Belgium,2017,67.8,83.3,69.3,71.5,44.1,9.6,66.3,82.0,61.1,84.9,87.0,85.0,70.0
Bosnia and Herzegovina,2017,60.2,41.2,40.0,32.7,83.5,33.7,89.3,47.4,59.3,84.0,86.6,65.0,60.0
Bulgaria,2017,67.9,62.5,38.9,41.8,91.0,58.4,86.4,66.7,68.3,83.3,87.0,70.0,60.0
Croatia,2017,59.4,65.5,56.8,43.4,66.8,31.3,44.7,58.2,43.3,80.3,87.4,75.0,60.0
Cyprus,2017,67.9,75.4,60.7,53.6,73.0,48.8,72.9,75.8,58.6,83.3,87.0,75.0,50.0
Czech Republic,2017,73.3,70.3,55.9,55.9,82.9,45.3,92.0,67.2,77.7,85.8,87.0,80.0,80.0
Denmark,2017,75.1,86.7,68.5,84.9,37.2,5.7,95.4,93.9,85.8,85.5,87.0,90.0,80.0
Estonia,2017,79.1,82.6,82.8,69.9,81.2,55.8,99.8,77.0,56.9,85.7,87.0,90.0,80.0
Finland,2017,74.0,90.6,82.7,90.0,66.6,0.0,77.3,90.2,53.4,85.1,87.0,85.0,80.0
France,2017,63.3,85.0,72.7,69.7,47.6,2.0,57.0,78.0,44.1,81.6,82.0,70.0,70.0
Georgia,2017,76.0,55.1,66.5,65.0,87.3,74.4,93.5,87.2,75.9,78.2,88.6,80.0,60.0
Germany,2017,73.8,82.9,79.5,77.7,61.9,41.4,89.9,86.6,42.8,85.9,87.0,80.0,70.0
Greece,2017,55.0,52.5,56.1,41.3,61.1,5.4,58.1,74.3,51.0,78.2,82.0,60.0,40.0
"Hungary ",2017,65.8,60.1,51.8,41.5,79.3,25.3,79.3,64.0,64.4,91.7,87.0,75.0,70.0
Iceland,2017,74.4,85.0,71.5,71.5,70.9,41.1,90.6,90.2,62.6,81.2,88.0,80.0,60.0
Ireland,2017,76.7,85.8,78.3,78.3,72.7,57.1,60.3,80.3,73.6,87.6,87.0,90.0,70.0
Italy,2017,62.5,74.6,55.4,44.7,54.9,22.3,66.9,69.8,52.9,86.9,87.0,85.0,50.0
Kosovo,2017,67.9,70.3,58.0,45.9,93.5,77.8,88.9,68.8,65.3,80.0,70.8,65.0,30.0
Latvia,2017,74.8,72.6,59.7,67.3,84.7,57.4,95.0,79.8,72.0,86.5,87.0,75.0,60.0
Liechtenstein,2017,N/A,N/A,N/A,N/A,N/A,N/A,N/A,92.3,85.7,N/A,90.0,85.0,80.0
Lithuania,2017,75.8,73.0,62.4,69.7,86.9,64.1,93.6,79.1,63.6,90.0,87.0,70.0,70.0
Luxembourg,2017,75.9,85.8,77.0,78.3,64.5,46.0,99.0,68.6,43.8,86.2,87.0,95.0,80.0
Malta,2017,67.7,67.7,62.9,53.6,62.8,44.9,85.1,62.5,57.2,83.5,87.0,85.0,60.0
Moldova,2017,58.0,49.6,23.9,28.6,86.1,54.8,90.6,65.9,38.9,72.0,80.0,55.0,50.0
Montenegro,2017,62.0,58.0,50.4,43.4,83.1,33.1,44.3,72.0,67.4,82.5,84.7,75.0,50.0
Netherlands,2017,75.8,87.4,69.9,85.7,53.2,37.0,83.0,80.2,70.5,85.8,87.0,90.0,80.0
North Macedonia,2017,70.7,67.0,61.4,52.0,91.9,68.9,72.6,81.5,66.7,80.8,86.1,60.0,60.0
Norway,2017,74.0,86.7,83.3,88.3,55.6,38.5,98.4,89.5,48.8,75.8,87.7,75.0,60.0
Poland,2017,68.3,60.8,58.0,55.5,76.0,46.9,76.1,67.8,61.5,84.7,87.0,75.0,70.0
Portugal,2017,62.6,73.3,68.9,59.0,59.8,25.1,32.1,86.4,43.4,85.9,87.0,70.0,60.0
Romania,2017,69.7,63.9,58.5,45.9,87.4,65.3,90.9,65.9,62.5,83.6,87.0,75.0,50.0
Russia,2017,57.1,47.6,44.5,38.2,81.8,61.5,93.4,74.8,50.8,57.3,75.2,30.0,30.0
"Serbia ",2017,58.9,50.3,40.2,38.2,83.3,40.3,46.9,62.9,65.9,80.8,77.8,70.0,50.0
Slovakia,2017,65.7,69.0,38.0,39.6,79.7,47.2,82.9,64.9,54.4,81.1,87.0,75.0,70.0
Slovenia,2017,59.2,75.0,55.1,53.6,58.7,28.6,6.1,80.6,60.2,85.3,87.0,70.0,50.0
Spain,2017,63.6,71.2,53.9,57.2,62.5,41.4,26.9,66.9,55.3,85.5,87.0,85.0,70.0
Sweden,2017,74.9,88.6,82.2,87.4,44.4,21.7,93.4,90.8,53.2,85.3,87.0,85.0,80.0
Switzerland,2017,81.5,86.9,77.6,80.3,70.9,67.5,95.8,76.8,72.2,84.4,90.0,85.0,90.0
Turkey,2017,65.2,61.3,52.5,40.7,75.5,57.7,95.7,64.3,48.5,72.2,79.4,75.0,60.0
Ukraine,2017,48.1,41.4,22.6,29.2,78.6,38.2,67.9,62.1,48.8,47.4,85.9,25.0,30.0
United Kingdom,2017,76.4,93.8,93.0,78.3,65.1,41.9,40.4,89.9,72.8,85.0,87.0,90.0,80.0
Albania,2016,65.9,35.0,N/A,33.0,87.8,75.0,N/A,67.6,51.5,81.7,87.6,70.0,70.0
Armenia,2016,67.0,20.0,N/A,37.0,83.8,80.7,N/A,77.5,62.2,72.8,85.6,80.0,70.0
Austria,2016,71.7,90.0,N/A,72.0,50.7,22.4,N/A,79.4,72.5,81.7,88.0,90.0,70.0
Azerbaijan,2016,60.2,20.0,N/A,29.0,88.0,56.7,N/A,70.3,75.2,77.0,75.8,60.0,50.0
Belarus,2016,48.8,20.0,N/A,31.0,88.6,44.8,N/A,69.0,74.9,50.4,79.0,20.0,10.0
Belgium,2016,68.4,80.0,N/A,76.0,44.2,11.0,N/A,85.4,60.5,84.0,88.0,85.0,70.0
Bosnia and Herzegovina,2016,58.6,20.0,N/A,39.0,83.9,33.1,N/A,54.6,59.4,84.3,87.0,65.0,60.0
Bulgaria,2016,65.9,30.0,N/A,43.0,91.1,60.4,N/A,66.9,71.6,82.6,88.0,65.0,60.0
Croatia,2016,59.1,35.0,N/A,48.0,70.8,33.7,N/A,60.3,42.4,78.7,87.4,75.0,60.0
Cyprus,2016,68.7,70.0,N/A,63.0,76.1,47.3,N/A,74.5,58.2,85.3,88.0,75.0,50.0
Czech Republic,2016,73.2,75.0,N/A,51.0,82.5,47.3,N/A,66.6,77.7,84.1,88.0,80.0,80.0
Denmark,2016,75.3,95.0,N/A,92.0,39.5,2.3,N/A,95.4,86.0,84.4,88.0,90.0,80.0
Estonia,2016,77.2,90.0,N/A,69.0,81.9,54.9,N/A,79.0,57.2,82.2,88.0,90.0,80.0
Finland,2016,72.6,90.0,N/A,89.0,66.5,0.8,N/A,90.7,53.7,81.9,88.0,85.0,80.0
France,2016,62.3,80.0,N/A,69.0,47.7,2.5,N/A,78.4,43.5,79.1,83.0,70.0,70.0
Georgia,2016,72.6,40.0,N/A,52.0,87.6,75.3,N/A,86.5,75.7,80.5,88.6,80.0,60.0
Germany,2016,74.4,90.0,N/A,79.0,61.5,41.3,N/A,90.0,50.6,83.3,88.0,90.0,70.0
Greece,2016,53.2,40.0,N/A,43.0,64.4,0.0,N/A,73.8,50.2,77.7,83.0,60.0,40.0
"Hungary ",2016,66.0,45.0,N/A,54.0,78.7,26.7,N/A,70.6,63.8,88.3,88.0,75.0,70.0
Iceland,2016,73.3,90.0,N/A,79.0,73.3,42.1,N/A,90.1,61.6,79.5,87.8,70.0,60.0
Ireland,2016,77.3,90.0,N/A,74.0,73.6,50.3,N/A,79.6,72.1,85.5,88.0,90.0,70.0
Italy,2016,61.2,50.0,N/A,43.0,55.8,22.1,N/A,70.3,53.0,84.5,88.0,85.0,60.0
Kosovo,2016,61.4,30.0,N/A,33.0,93.6,76.8,N/A,69.3,66.3,78.9,70.8,65.0,30.0
Latvia,2016,70.4,50.0,N/A,55.0,84.8,58.4,N/A,78.6,59.5,84.8,88.0,85.0,60.0
Liechtenstein,2016,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,90.0,85.0,80.0
Lithuania,2016,75.2,65.0,N/A,58.0,92.9,63.8,N/A,80.0,60.0,84.6,88.0,80.0,80.0
Luxembourg,2016,73.9,90.0,N/A,82.0,61.1,43.0,N/A,73.7,42.6,83.2,88.0,95.0,80.0
Malta,2016,66.7,70.0,N/A,55.0,63.9,46.5,N/A,61.6,53.5,83.5,88.0,85.0,60.0
Moldova,2016,57.4,40.0,N/A,35.0,85.4,55.6,N/A,64.6,39.3,76.0,73.6,55.0,50.0
Montenegro,2016,64.9,40.0,N/A,42.0,91.6,39.8,N/A,76.6,72.0,82.6,84.8,70.0,50.0
Netherlands,2016,74.6,90.0,N/A,83.0,52.7,34.4,N/A,80.0,64.0,83.4,88.0,90.0,80.0
North Macedonia,2016,67.5,35.0,N/A,45.0,92.1,69.6,N/A,76.4,66.7,83.5,86.4,60.0,60.0
Norway,2016,70.8,90.0,N/A,86.0,53.2,41.8,N/A,89.6,48.5,76.2,87.8,75.0,60.0
Poland,2016,69.3,65.0,N/A,61.0,75.5,46.5,N/A,68.7,58.0,85.2,88.0,75.0,70.0
Portugal,2016,65.1,70.0,N/A,63.0,60.5,24.8,N/A,85.3,43.5,85.7,88.0,70.0,60.0
Romania,2016,65.6,35.0,N/A,43.0,87.5,65.6,N/A,66.1,65.1,81.1,88.0,75.0,50.0
Russia,2016,50.6,20.0,N/A,27.0,82.2,56.2,N/A,72.2,57.6,62.9,72.4,25.0,30.0
"Serbia ",2016,62.1,50.0,N/A,41.0,84.3,44.1,N/A,60.2,66.2,77.5,77.8,70.0,50.0
Slovakia,2016,66.6,50.0,N/A,50.0,80.1,49.5,N/A,68.4,55.0,79.5,88.0,75.0,70.0
Slovenia,2016,60.6,60.0,N/A,58.0,58.6,0.0,N/A,82.0,55.4,84.3,88.0,70.0,50.0
Spain,2016,68.5,70.0,N/A,60.0,58.3,41.1,N/A,76.0,51.7,84.7,88.0,85.0,70.0
Sweden,2016,72.0,90.0,N/A,87.0,44.4,14.9,N/A,89.7,53.5,87.1,88.0,85.0,80.0
Switzerland,2016,81.0,90.0,N/A,86.0,70.9,66.3,N/A,82.2,72.1,87.8,90.0,85.0,80.0
