Name,Index Year,Overall Score,Property Rights,Judicial Effectiveness,Government Integrity,Tax Burden,Government Spending,Fiscal Health,Business Freedom,Labor Freedom,Monetary Freedom,Trade Freedom,Investment Freedom,Financial Freedom
France,2020,66.0,85.9,71.2,83.3,48.8,4.5,67.1,82.5,46.1,76.7,81.4,75.0,70.0
Georgia,2020,77.1,68.6,57.9,64.8,87.1,73.6,94.4,85.3,76.3,78.3,88.6,80.0,70.0
Germany,2020,73.5,80.5,74.3,82.8,60.9,42.2,92.9,82.8,53.0,76.7,86.4,80.0,70.0
Greece,2020,59.9,57.0,48.6,51.2,59.0,31.5,80.0,73.7,52.0,79.4,81.4,55.0,50.0
"Hungary ",2020,66.4,64.8,45.7,47.5,79.9,34.5,83.6,60.2,64.6,79.9,86.4,80.0,70.0
Iceland,2020,77.1,87.6,63.2,90.3,71.7,44.1,97.5,84.7,63.5,80.3,86.8,85.0,70.0
Ireland,2020,80.9,86.6,64.4,82.8,76.4,78.8,91.4,82.7,75.9,85.3,86.4,90.0,70.0
Italy,2020,63.8,75.4,51.3,62.2,56.0,28.5,71.1,70.4,50.9,83.2,86.4,80.0,50.0
Kosovo,2020,67.4,66.3,54.1,39.2,92.6,76.5,94.0,75.0,61.0,78.4,76.2,65.0,30.0
Latvia,2020,71.9,72.3,51.1,46.4,76.9,58.3,96.5,77.0,72.4,80.2,86.4,85.0,60.0
Liechtenstein,2020,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,85.0,80.0
Lithuania,2020,76.7,77.9,62.1,67.4,84.9,66.0,97.4,71.9,76.5,79.7,86.4,80.0,70.0
Luxembourg,2020,75.8,86.4,74.4,90.3,64.1,45.4,99.0,66.8,45.3,76.4,86.4,95.0,80.0
Malta,2020,69.5,70.5,49.6,55.1,64.8,60.0,95.9,68.0,61.1,77.1,86.4,85.0,60.0
Moldova,2020,62.0,60.5,31.7,37.2,86.1,71.6,96.2,68.1,37.0,72.0,78.0,55.0,50.0
Montenegro,2020,61.5,59.1,55.3,47.5,85.4,32.1,23.4,70.8,74.8,80.3,83.8,75.0,50.0
Netherlands,2020,77.0,90.0,73.9,90.1,51.7,45.2,94.1,80.4,60.2,82.5,86.4,90.0,80.0
North Macedonia,2020,69.5,62.5,42.7,42.2,91.5,71.0,87.7,80.6,67.0,77.7,86.2,65.0,60.0
Norway,2020,73.4,84.3,82.8,95.6,57.7,25.6,97.3,86.1,57.4,74.8,83.8,75.0,60.0
Poland,2020,69.1,63.1,42.8,64.6,74.7,48.8,92.2,62.6,62.0,82.0,86.4,80.0,70.0
Portugal,2020,67.0,75.4,65.6,68.9,59.6,39.8,74.4,76.5,44.1,83.0,86.4,70.0,60.0
Romania,2020,69.7,72.5,56.1,55.1,90.3,70.4,85.6,58.6,63.0,78.1,86.4,70.0,50.0
Russia,2020,61.0,56.8,44.4,41.3,88.5,63.8,98.7,80.2,52.1,68.2,77.8,30.0,30.0
"Serbia ",2020,66.0,55.4,46.8,44.0,83.7,49.7,94.1,72.6,66.9,80.7,78.0,70.0,50.0
Slovakia,2020,66.8,73.1,41.7,49.7,78.5,50.2,92.6,55.3,52.6,75.9,86.4,75.0,70.0
Slovenia,2020,67.8,76.5,48.6,67.4,59.2,42.9,90.3,78.4,61.4,82.2,86.4,70.0,50.0
Spain,2020,66.9,74.9,51.8,55.1,62.1,48.3,62.6,66.8,57.7,82.0,86.4,85.0,70.0
Sweden,2020,74.9,88.8,79.9,91.4,43.6,25.8,97.0,85.3,53.8,81.2,86.4,85.0,80.0
Switzerland,2020,82.0,87.4,81.5,90.1,70.1,65.3,96.7,74.2,72.4,84.4,86.6,85.0,90.0
Turkey,2020,64.4,57.4,53.7,44.6,76.7,64.1,86.1,67.0,49.2,66.1,78.0,70.0,60.0
Ukraine,2020,54.9,47.5,42.2,37.9,81.1,47.2,83.9,61.3,48.3,63.0,81.2,35.0,30.0
United Kingdom,2020,79.3,92.2,82.7,89.9,64.7,49.5,78.1,94.7,73.1,80.3,86.4,80.0,80.0
